#  M  O(n=5)   nO(n=5)    O(n=10)   nO(n=10)  O(n=15)   nO(n=15)  O(n=20)   nO(n=20)  O(n=25)   nO(n=25)  O(n=30)   nO(n=30)  O(n=35)   nO(n=35)  O(n=40)   nO(n=40)  O(n=45)   nO(n=45)  O(n=50)   nO(n=50)  O(n=55)   nO(n=55)  O(n=60)   nO(n=60)  O(n=65)   nO(n=65)  O(n=70)   nO(n=70)  O(n=75)   nO(n=75)  O(n=80)   nO(n=80)
   5  0.03644   0.01067   0.05733   0.01244   0.09111   0.01022   0.1293    0.01911   0.1791    0.036     0.2276    0.044     0.2662    0.02356   0.3542    0.08711   0.4102    0.09956   0.5253    0.1218    0.5947    0.03733   0.7182    0.1222    0.8427    0.04489   1.04      0.1053    1.121     0.128     1.396     0.2093    
  10  0.02933   0.01022   0.09733   0.05067   0.104     0.08045   0.1551    0.1351    0.1787    0.1102    0.2271    0.09822   0.2991    0.2196    0.3902    0.1916    0.5067    0.212     0.5738    0.3182    0.696     0.1707    0.8018    0.2       0.9502    0.1698    1.115     0.5111    1.548     0.2209    1.451     0.1058    
  15  0.04667   0.02356   0.06311   0.01556   0.1249    0.1711    0.148     0.2356    0.2827    0.272     0.3089    0.4729    0.3489    0.4844    0.5022    0.5907    0.5511    0.4542    0.6951    0.38      0.872     0.1027    0.8756    0.09822   1.02      0.09067   1.209     0.2124    1.436     1.185     1.524     0.3116    
  20  0.03511   0.009778  0.09333   0.1853    0.2067    0.3924    0.1893    0.06667   0.2902    0.7227    0.3516    0.8689    0.4818    1.338     0.5822    0.3898    0.6538    0.4422    0.6756    1.087     0.9013    2.551     1.099     1.419     1.098     1.054     1.288     0.6747    1.451     2.17      1.702     4.424     
  25  0.04711   0.05911   0.1924    0.4187    0.1964    1.11      0.244     0.872     0.2631    0.06933   0.4516    1.022     0.7747    1.316     0.928     3.867     1.074     2.517     1.972     1.102     2.889     3.608     1.151     1.003     1.401     1.342     1.407     1.036     1.628     6.016     1.942     3.421     
  30  0.04222   0.01467   0.1516    0.3373    0.2929    0.1511    0.58      2.029     0.4089    1.062     0.4404    2.02      0.828     3.382     0.7124    0.516     0.8178    3.523     1.717     2.076     1.141     5.534     1.492     4.31      1.461     5.685     1.697     6.417     1.814     2.757     1.972     2.243     
  35  0.1333    0.1453    0.3876    0.5773    0.2391    1.268     0.6382    1.9       0.6018    1.641     0.4667    0.4911    0.5951    4.893     0.8387    0.8476    0.9044    1.515     0.9769    3.446     1.336     4.767     1.302     5.744     1.619     10.52     2.022     1.495     2.454     2.069     2.606     9.777     
  40  0.084     0.1453    0.8613    1.798     0.2418    1.262     2.32      5.692     1.072     1.83      0.6053    2.352     1.102     0.628     0.952     4.024     2.364     9.649     1.311     3.012     1.226     8.418     1.384     12.92     1.615     9.455     1.633     4.07      2.11      8.884     3.236     7.261     
  45  0.116     0.4729    0.4667    0.3733    0.4822    1.499     0.9116    4.094     0.7258    2.93      0.6836    2.087     0.7982    4.64      1.343     12.92     1.061     6.931     1.173     10.48     1.533     15.36     2.288     14.42     1.843     3.145     3.298     3.289     2.525     22.94     2.571     21.44     
  50  0.3271    0.5093    0.5124    3.668     1.366     6.032     0.9142    0.9671    1.411     3.096     1.445     6.209     1.685     9.414     2.641     15.36     1.644     24.07     2.454     15.27     1.527     10.45     2.05      8.894     2.428     30.77     2.262     13.74     2.25      12.91     3.319     10.83     
  55  0.08311   0.088     1.285     4.672     0.5591    2.683     1.971     1.723     0.6289    8.536     1.297     11.97     2.3       19.87     0.8431    1.524     2.643     35.69     1.658     14.64     1.976     22.12     2.654     7.492     2.411     7.576     2.588     37.02     9.132     2.804     3.665     57.86     
  60  1.644     4.607     2.903     6.523     0.4209    7.174     2.158     3.848     2.73      13.16     0.8431    4.634     0.8804    14.74     2.132     15.96     1.612     19.56     2.22      18.01     6.201     18.74     1.924     38.76     6.776     8.141     3.898     37.72     4.621     47.4      2.716     29.32     
  65  4.74      6.758     0.5369    9.146     0.5724    1.19      1.76      16.44     1.207     31.92     0.8067    11.56     1.301     27.98     1.484     6.572     2.054     40.05     2.289     20.11     2.409     24.57     2.384     25.59     3.957     36.9      2.476     15.85     3.301     23.7      3.309     62.64     
  70  3.155     6.211     2.516     3.913     2.65      15.97     12.86     40.45     2.146     17.25     1.531     33.29     1.36      13.11     4.911     7.538     1.324     31.26     2.55      26.33     6.462     51.13     2.996     31.64     2.566     49.59     3.836     59.23     4.172     61.05     3.506     39.26     
  75  6.482     7.794     1.56      4.24      0.5058    6.494     3.6       8.187     1.229     8.343     2.242     26.7      2.183     3.858     4.638     32.31     2.286     53.86     6.763     78.14     2.692     79.6      5.815     88.8      3.968     10.95     3.09      6.262     7.663     108.7     6.014     104.3     
  80  1.803     2.536     0.572     5.511     0.7071    16.06     2.251     25.49     1.481     22.91     1.398     50.97     1.881     38.63     3.077     65        4.97      34.54     6.4       79.26     3.132     87.19     3.722     29.39     6.691     114.6     4.448     98.89     3.098     29.32     4.959     69.79     
